image,perturb,params,fg_iou,bg_iou,miou,fg_change(1-iou),bg_change(1-iou),miou_change(1-iou)
2010_000685.png,rotation,rotation_deg30.0,0.553731,0.740410,0.647070,0.446269,0.259590,0.352930
2010_000788.png,rotation,rotation_deg30.0,0.623456,0.830793,0.727125,0.376544,0.169207,0.272875
2010_000847.png,rotation,rotation_deg30.0,0.264123,0.856915,0.560519,0.735877,0.143085,0.439481
2010_000907.png,rotation,rotation_deg30.0,0.800603,0.948986,0.874794,0.199397,0.051014,0.125206
2010_000952.png,rotation,rotation_deg30.0,0.472532,0.698641,0.585586,0.527468,0.301359,0.414414
2010_001011.png,rotation,rotation_deg30.0,0.477021,0.695268,0.586144,0.522979,0.304732,0.413856
2010_001061.png,rotation,rotation_deg30.0,0.436407,0.970113,0.703260,0.563593,0.029887,0.296740
2010_001124.png,rotation,rotation_deg30.0,0.371898,0.897777,0.634837,0.628102,0.102223,0.365163
2010_001154.png,rotation,rotation_deg30.0,0.589228,0.618264,0.603746,0.410772,0.381736,0.396254
2010_001195.png,rotation,rotation_deg30.0,0.208248,0.848262,0.528255,0.791752,0.151738,0.471745
2010_001251.png,rotation,rotation_deg30.0,0.636854,0.845974,0.741414,0.363146,0.154026,0.258586
2010_001256.png,rotation,rotation_deg30.0,0.159925,0.939269,0.549597,0.840075,0.060731,0.450403
2010_001264.png,rotation,rotation_deg30.0,0.734842,0.878706,0.806774,0.265158,0.121294,0.193226
2010_001279.png,rotation,rotation_deg30.0,0.227365,0.846648,0.537006,0.772635,0.153352,0.462994
2010_001331.png,rotation,rotation_deg30.0,0.552098,0.699176,0.625637,0.447902,0.300824,0.374363
2010_001386.png,rotation,rotation_deg30.0,0.635925,0.825752,0.730838,0.364075,0.174248,0.269162
2010_001448.png,rotation,rotation_deg30.0,0.389242,0.876889,0.633066,0.610758,0.123111,0.366934
2010_001522.png,rotation,rotation_deg30.0,0.630902,0.832939,0.731921,0.369098,0.167061,0.268079
2010_001534.png,rotation,rotation_deg30.0,0.402480,0.755480,0.578980,0.597520,0.244520,0.421020
2010_001577.png,rotation,rotation_deg30.0,0.571666,0.891175,0.731420,0.428334,0.108825,0.268580
