image,perturb,params,fg_iou,bg_iou,miou,fg_change(1-iou),bg_change(1-iou),miou_change(1-iou)
2010_000685.png,gaussian,gaussian_std5.0,0.506003,0.654451,0.580227,0.493997,0.345549,0.419773
2010_000788.png,gaussian,gaussian_std5.0,0.370123,0.710104,0.540113,0.629877,0.289896,0.459887
2010_000847.png,gaussian,gaussian_std5.0,0.270017,0.864216,0.567116,0.729983,0.135784,0.432884
2010_000907.png,gaussian,gaussian_std5.0,0.783533,0.945026,0.864279,0.216467,0.054974,0.135721
2010_000952.png,gaussian,gaussian_std5.0,0.564109,0.730379,0.647244,0.435891,0.269621,0.352756
2010_001011.png,gaussian,gaussian_std5.0,0.615402,0.696480,0.655941,0.384598,0.303520,0.344059
2010_001061.png,gaussian,gaussian_std5.0,0.279101,0.925580,0.602340,0.720899,0.074420,0.397660
2010_001124.png,gaussian,gaussian_std5.0,0.398934,0.885478,0.642206,0.601066,0.114522,0.357794
2010_001154.png,gaussian,gaussian_std5.0,0.654415,0.638575,0.646495,0.345585,0.361425,0.353505
2010_001195.png,gaussian,gaussian_std5.0,0.366485,0.877743,0.622114,0.633515,0.122257,0.377886
2010_001251.png,gaussian,gaussian_std5.0,0.731715,0.882894,0.807305,0.268285,0.117106,0.192695
2010_001256.png,gaussian,gaussian_std5.0,0.192621,0.909261,0.550941,0.807379,0.090739,0.449059
2010_001264.png,gaussian,gaussian_std5.0,0.520264,0.784491,0.652378,0.479736,0.215509,0.347622
2010_001279.png,gaussian,gaussian_std5.0,0.473781,0.854755,0.664268,0.526219,0.145245,0.335732
2010_001331.png,gaussian,gaussian_std5.0,0.369562,0.655801,0.512681,0.630438,0.344199,0.487319
2010_001386.png,gaussian,gaussian_std5.0,0.545785,0.799114,0.672450,0.454215,0.200886,0.327550
2010_001448.png,gaussian,gaussian_std5.0,0.597528,0.932967,0.765248,0.402472,0.067033,0.234752
2010_001522.png,gaussian,gaussian_std5.0,0.451327,0.814859,0.633093,0.548673,0.185141,0.366907
2010_001534.png,gaussian,gaussian_std5.0,0.560569,0.806156,0.683362,0.439431,0.193844,0.316638
2010_001577.png,gaussian,gaussian_std5.0,0.630000,0.901821,0.765910,0.370000,0.098179,0.234090
2010_001706.png,gaussian,gaussian_std5.0,0.481980,0.677105,0.579542,0.518020,0.322895,0.420458
2010_001773.png,gaussian,gaussian_std5.0,0.485640,0.709307,0.597474,0.514360,0.290693,0.402526
2010_001820.png,gaussian,gaussian_std5.0,0.569067,0.883154,0.726111,0.430933,0.116846,0.273889
2010_001849.png,gaussian,gaussian_std5.0,0.667701,0.727858,0.697779,0.332299,0.272142,0.302221
2010_001922.png,gaussian,gaussian_std5.0,0.360983,0.843432,0.602207,0.639017,0.156568,0.397793
