image,perturb,params,fg_iou,bg_iou,miou,fg_change(1-iou),bg_change(1-iou),miou_change(1-iou)
2010_000685.png,rotation,rotation_deg30.0,0.610944,0.693114,0.652029,0.389056,0.306886,0.347971
2010_000788.png,rotation,rotation_deg30.0,0.304985,0.669638,0.487312,0.695015,0.330362,0.512688
2010_000847.png,rotation,rotation_deg30.0,0.285869,0.838569,0.562219,0.714131,0.161431,0.437781
2010_000907.png,rotation,rotation_deg30.0,0.478264,0.851339,0.664801,0.521736,0.148661,0.335199
2010_000952.png,rotation,rotation_deg30.0,0.406852,0.620250,0.513551,0.593148,0.379750,0.486449
2010_001011.png,rotation,rotation_deg30.0,0.573917,0.654087,0.614002,0.426083,0.345913,0.385998
2010_001061.png,rotation,rotation_deg30.0,0.310231,0.921299,0.615765,0.689769,0.078701,0.384235
2010_001124.png,rotation,rotation_deg30.0,0.295534,0.836954,0.566244,0.704466,0.163046,0.433756
2010_001154.png,rotation,rotation_deg30.0,0.708698,0.672157,0.690427,0.291302,0.327843,0.309573
2010_001195.png,rotation,rotation_deg30.0,0.422660,0.880833,0.651746,0.577340,0.119167,0.348254
2010_001251.png,rotation,rotation_deg30.0,0.482535,0.756691,0.619613,0.517465,0.243309,0.380387
2010_001256.png,rotation,rotation_deg30.0,0.428931,0.932527,0.680729,0.571069,0.067473,0.319271
2010_001264.png,rotation,rotation_deg30.0,0.557585,0.772156,0.664870,0.442415,0.227844,0.335130
2010_001279.png,rotation,rotation_deg30.0,0.327017,0.787459,0.557238,0.672983,0.212541,0.442762
2010_001331.png,rotation,rotation_deg30.0,0.367813,0.628921,0.498367,0.632187,0.371079,0.501633
2010_001386.png,rotation,rotation_deg30.0,0.573658,0.801983,0.687820,0.426342,0.198017,0.312180
2010_001448.png,rotation,rotation_deg30.0,0.398024,0.892082,0.645053,0.601976,0.107918,0.354947
2010_001522.png,rotation,rotation_deg30.0,0.378689,0.771682,0.575185,0.621311,0.228318,0.424815
2010_001534.png,rotation,rotation_deg30.0,0.348984,0.706936,0.527960,0.651016,0.293064,0.472040
2010_001577.png,rotation,rotation_deg30.0,0.443339,0.840300,0.641819,0.556661,0.159700,0.358181
2010_001706.png,rotation,rotation_deg30.0,0.526371,0.687933,0.607152,0.473629,0.312067,0.392848
2010_001773.png,rotation,rotation_deg30.0,0.590786,0.742637,0.666712,0.409214,0.257363,0.333288
2010_001820.png,rotation,rotation_deg30.0,0.333155,0.802735,0.567945,0.666845,0.197265,0.432055
2010_001849.png,rotation,rotation_deg30.0,0.532377,0.625027,0.578702,0.467623,0.374973,0.421298
2010_001922.png,rotation,rotation_deg30.0,0.366720,0.773243,0.569982,0.633280,0.226757,0.430018
2010_001944.png,rotation,rotation_deg30.0,0.776962,0.770400,0.773681,0.223038,0.229600,0.226319
2010_002025.png,rotation,rotation_deg30.0,0.646992,0.632181,0.639586,0.353008,0.367819,0.360414
2010_002054.png,rotation,rotation_deg30.0,0.425831,0.847159,0.636495,0.574169,0.152841,0.363505
2010_002097.png,rotation,rotation_deg30.0,0.458945,0.673642,0.566294,0.541055,0.326358,0.433706
2010_002154.png,rotation,rotation_deg30.0,0.562833,0.648917,0.605875,0.437167,0.351083,0.394125
2010_002232.png,rotation,rotation_deg30.0,0.660609,0.971844,0.816226,0.339391,0.028156,0.183774
2010_002271.png,rotation,rotation_deg30.0,0.571669,0.796280,0.683974,0.428331,0.203720,0.316026
2010_002286.png,rotation,rotation_deg30.0,0.244113,0.620020,0.432066,0.755887,0.379980,0.567934
2010_002310.png,rotation,rotation_deg30.0,0.249600,0.954242,0.601921,0.750400,0.045758,0.398079
2010_002338.png,rotation,rotation_deg30.0,0.699459,0.940239,0.819849,0.300541,0.059761,0.180151
2010_002348.png,rotation,rotation_deg30.0,0.709001,0.689179,0.699090,0.290999,0.310821,0.300910
2010_002382.png,rotation,rotation_deg30.0,0.523379,0.766369,0.644874,0.476621,0.233631,0.355126
2010_002387.png,rotation,rotation_deg30.0,0.395849,0.708403,0.552126,0.604151,0.291597,0.447874
2010_002390.png,rotation,rotation_deg30.0,0.587330,0.702428,0.644879,0.412670,0.297572,0.355121
2010_002450.png,rotation,rotation_deg30.0,0.066358,0.942739,0.504548,0.933642,0.057261,0.495452
2010_002455.png,rotation,rotation_deg30.0,0.487442,0.656278,0.571860,0.512558,0.343722,0.428140
2010_002531.png,rotation,rotation_deg30.0,0.612145,0.585686,0.598915,0.387855,0.414314,0.401085
2010_002536.png,rotation,rotation_deg30.0,0.181355,0.855883,0.518619,0.818645,0.144117,0.481381
2010_002551.png,rotation,rotation_deg30.0,0.461246,0.677148,0.569197,0.538754,0.322852,0.430803
2010_002573.png,rotation,rotation_deg30.0,0.495472,0.688933,0.592202,0.504528,0.311067,0.407798
2010_002786.png,rotation,rotation_deg30.0,0.596615,0.678334,0.637474,0.403385,0.321666,0.362526
2010_002794.png,rotation,rotation_deg30.0,0.524562,0.908630,0.716596,0.475438,0.091370,0.283404
2010_002868.png,rotation,rotation_deg30.0,0.649371,0.647938,0.648655,0.350629,0.352062,0.351345
2010_002938.png,rotation,rotation_deg30.0,0.477457,0.533444,0.505450,0.522543,0.466556,0.494550
2010_002988.png,rotation,rotation_deg30.0,0.745014,0.949354,0.847184,0.254986,0.050646,0.152816
2010_003097.png,rotation,rotation_deg30.0,0.235872,0.878573,0.557222,0.764128,0.121427,0.442778
2010_003127.png,rotation,rotation_deg30.0,0.307007,0.769055,0.538031,0.692993,0.230945,0.461969
2010_003153.png,rotation,rotation_deg30.0,0.281049,0.857190,0.569120,0.718951,0.142810,0.430880
2010_003170.png,rotation,rotation_deg30.0,0.144306,0.817245,0.480776,0.855694,0.182755,0.519224
2010_003183.png,rotation,rotation_deg30.0,0.277034,0.773961,0.525497,0.722966,0.226039,0.474503
2010_003187.png,rotation,rotation_deg30.0,0.367612,0.539491,0.453552,0.632388,0.460509,0.546448
2010_003207.png,rotation,rotation_deg30.0,0.317713,0.800759,0.559236,0.682287,0.199241,0.440764
2010_003250.png,rotation,rotation_deg30.0,0.433391,0.807292,0.620341,0.566609,0.192708,0.379659
2010_003252.png,rotation,rotation_deg30.0,0.253892,0.786094,0.519993,0.746108,0.213906,0.480007
2010_003269.png,rotation,rotation_deg30.0,0.333191,0.671146,0.502168,0.666809,0.328854,0.497832
