image,perturb,params,fg_iou,bg_iou,miou,fg_change(1-iou),bg_change(1-iou),miou_change(1-iou)
2010_000685.png,rotation,rotation_deg5.0,0.656983,0.731163,0.694073,0.343017,0.268837,0.305927
2010_000788.png,rotation,rotation_deg5.0,0.503938,0.752897,0.628418,0.496062,0.247103,0.371582
2010_000847.png,rotation,rotation_deg5.0,0.391511,0.877690,0.634601,0.608489,0.122310,0.365399
2010_000907.png,rotation,rotation_deg5.0,0.806360,0.948004,0.877182,0.193640,0.051996,0.122818
2010_000952.png,rotation,rotation_deg5.0,0.596756,0.744584,0.670670,0.403244,0.255416,0.329330
2010_001011.png,rotation,rotation_deg5.0,0.641786,0.705557,0.673671,0.358214,0.294443,0.326329
2010_001061.png,rotation,rotation_deg5.0,0.399505,0.936631,0.668068,0.600495,0.063369,0.331932
2010_001124.png,rotation,rotation_deg5.0,0.617415,0.916171,0.766793,0.382585,0.083829,0.233207
2010_001154.png,rotation,rotation_deg5.0,0.727479,0.690236,0.708858,0.272521,0.309764,0.291142
2010_001195.png,rotation,rotation_deg5.0,0.455648,0.890490,0.673069,0.544352,0.109510,0.326931
2010_001251.png,rotation,rotation_deg5.0,0.798389,0.908026,0.853208,0.201611,0.091974,0.146792
2010_001256.png,rotation,rotation_deg5.0,0.479360,0.937995,0.708678,0.520640,0.062005,0.291322
2010_001264.png,rotation,rotation_deg5.0,0.729583,0.862971,0.796277,0.270417,0.137029,0.203723
2010_001279.png,rotation,rotation_deg5.0,0.602925,0.885236,0.744080,0.397075,0.114764,0.255920
2010_001331.png,rotation,rotation_deg5.0,0.442830,0.670556,0.556693,0.557170,0.329444,0.443307
2010_001386.png,rotation,rotation_deg5.0,0.610387,0.822309,0.716348,0.389613,0.177691,0.283652
2010_001448.png,rotation,rotation_deg5.0,0.612980,0.934960,0.773970,0.387020,0.065040,0.226030
2010_001522.png,rotation,rotation_deg5.0,0.463945,0.816929,0.640437,0.536055,0.183071,0.359563
2010_001534.png,rotation,rotation_deg5.0,0.627817,0.835048,0.731432,0.372183,0.164952,0.268568
2010_001577.png,rotation,rotation_deg5.0,0.611581,0.890925,0.751253,0.388419,0.109075,0.248747
2010_001706.png,rotation,rotation_deg5.0,0.587975,0.727110,0.657542,0.412025,0.272890,0.342458
2010_001773.png,rotation,rotation_deg5.0,0.631290,0.761633,0.696462,0.368710,0.238367,0.303538
2010_001820.png,rotation,rotation_deg5.0,0.549390,0.871152,0.710271,0.450610,0.128848,0.289729
2010_001849.png,rotation,rotation_deg5.0,0.745170,0.772921,0.759046,0.254830,0.227079,0.240954
2010_001922.png,rotation,rotation_deg5.0,0.469054,0.850582,0.659818,0.530946,0.149418,0.340182
2010_001944.png,rotation,rotation_deg5.0,0.853460,0.841429,0.847445,0.146540,0.158571,0.152555
2010_002025.png,rotation,rotation_deg5.0,0.738943,0.712626,0.725785,0.261057,0.287374,0.274215
2010_002054.png,rotation,rotation_deg5.0,0.454844,0.854915,0.654879,0.545156,0.145085,0.345121
2010_002097.png,rotation,rotation_deg5.0,0.555529,0.759109,0.657319,0.444471,0.240891,0.342681
2010_002154.png,rotation,rotation_deg5.0,0.767099,0.800947,0.784023,0.232901,0.199053,0.215977
2010_002232.png,rotation,rotation_deg5.0,0.599442,0.967929,0.783685,0.400558,0.032071,0.216315
2010_002271.png,rotation,rotation_deg5.0,0.646244,0.835316,0.740780,0.353756,0.164684,0.259220
2010_002286.png,rotation,rotation_deg5.0,0.489370,0.742158,0.615764,0.510630,0.257842,0.384236
2010_002310.png,rotation,rotation_deg5.0,0.272896,0.957498,0.615197,0.727104,0.042502,0.384803
2010_002338.png,rotation,rotation_deg5.0,0.823404,0.966832,0.895118,0.176596,0.033168,0.104882
2010_002348.png,rotation,rotation_deg5.0,0.849440,0.826340,0.837890,0.150560,0.173660,0.162110
2010_002382.png,rotation,rotation_deg5.0,0.566133,0.794490,0.680312,0.433867,0.205510,0.319688
2010_002387.png,rotation,rotation_deg5.0,0.547193,0.792018,0.669605,0.452807,0.207982,0.330395
2010_002390.png,rotation,rotation_deg5.0,0.628501,0.744141,0.686321,0.371499,0.255859,0.313679
